Days ago,Price (USD),Market Cap (USD),Volume (USD),Days ago,Price (USD),Market Cap (USD),Volume (USD),CV_9day,CC_9day,CV_20day,CC_20day,CV_50day,CC_50day,CV_200day,CC_200day,CV_365day,CC_365day
56.0,3.506031409272519,0.0,3410743.1060973005,56.0,46970.057050727024,887944269264.0427,23305069269.64378,-2.0180011070142245,-0.07024849717813265,151.38270766398196,0.4617890074161759,136.49443832388016,0.10323431898866615,1122.4334328521306,0.2993229241682413,,
57.0,3.7045315127004996,0.0,3796027.123857565,57.0,46328.6963654447,875783175210.4042,30617760444.44956,-1.3130619373716685,-0.04294350860450117,154.72060658678308,0.4305320557471238,105.001010776127,0.07761086942974946,1125.5878689216454,0.29960247194309103,,
58.0,3.6473998351753782,0.0,5405487.258731474,58.0,47694.530502251764,901558072618.6224,24699414443.565502,13.739690803398105,0.35701941053491254,157.29589465306134,0.42360990177455304,80.98034786706188,0.05897209539955323,1128.524193788478,0.3003295822495871,,
59.0,3.849810397458635,0.0,5622063.590090281,59.0,48936.86258244155,925006387197.2257,33782603071.208714,29.74570497222943,0.5587297651641241,155.43184485719647,0.407854793159291,58.47355685451781,0.042069193617542855,1127.3578422354462,0.2995591407016694,,
60.0,4.023588932747507,0.0,5653257.485634092,60.0,48410.564656309325,915015634616.989,30152105689.95273,38.560009671251876,0.6179177482289223,148.4970313920822,0.3573396107519792,26.625672625086445,0.018902754377771117,1116.2933192110645,0.29639497812719606,,
61.0,4.1545608479535305,0.0,3487738.3265491356,61.0,46696.30469946678,882570058436.5184,29628245402.124134,42.859095823433535,0.6452560645676207,148.64597766881104,0.3421998894502921,-3.874750816674555,-0.002719419208455185,1115.363547814928,0.29673711045780404,,
62.0,3.6156567145878635,0.0,4888372.644115219,62.0,50051.078348674855,945932497231.4797,19871029748.355583,54.375315156596734,0.7495520548651061,152.16938729386973,0.3370727243373705,-21.7539161968093,-0.015246335485240894,1118.377329591029,0.2990837932155559,,
63.0,4.369706232916246,0.0,2326504.559078397,63.0,49242.302324071476,930603779263.9766,24619129766.774235,76.05918548646417,0.7023845610620078,149.15719310959264,0.3199920421925184,-49.05813769005148,-0.03390834467054235,1108.9136107806783,0.2965228085181376,,
64.0,4.586868667310069,0.0,2291201.9747501826,64.0,47303.56415217411,893919955029.865,29611257204.740986,107.98320272117219,0.6575965727856675,141.90746585763287,0.2943151775129229,-74.53563181563369,-0.05187537120102265,1098.8936967144564,0.2962037497285169,,
65.0,4.540699979267471,0.0,4732470.976917292,65.0,47885.871989417064,904878061656.8508,27269362515.246876,139.74809867135812,0.6750828714432733,146.69255284619436,0.2971972918813049,-95.8280142267219,-0.06759249295585931,1102.270058279295,0.30084586536985447,,
66.0,4.7854638902489555,0.0,5229857.507316024,66.0,50530.4580645934,954800139986.473,26590164539.05959,149.7287808449648,0.640232886918477,148.84174251727262,0.3012283946459274,-121.8530327111776,-0.0865377768446364,1105.0107979927375,0.30466309277935927,,
67.0,5.198800199505779,0.0,8860793.822443848,67.0,50647.66340635755,956961313925.818,30083305919.5604,142.18924630809315,0.5663833966869902,137.61229846892033,0.28894110636303444,-151.87903307346213,-0.11095113689816362,1103.7718408078567,0.30934697304451714,,
68.0,4.667720102617135,0.0,11264752.0201928,68.0,50461.57683653979,953396710269.5476,36126018721.826546,128.72864082091672,0.5261232639592894,118.91280912542615,0.26664275701336443,-184.42016667792117,-0.14405212372634807,1091.9253696429707,0.315036686399673,,
69.0,4.615004356726034,0.0,19055910.054428488,69.0,49268.46989053938,932015145132.0604,32826574574.44167,117.36125013072434,0.5016315074288188,111.48632235570085,0.25902844244154005,-215.13922639452394,-0.1743060282704218,1084.4341130339938,0.318406466425252,,
70.0,5.45107465310804,0.0,17476029.862842526,70.0,49161.99070957517,930097457941.656,55941408415.03649,109.62901729945716,0.49767211584362714,112.98319412326258,0.26795828468933447,-238.33509855229283,-0.20080330057247708,1075.6599976412272,0.3208184732892855,,
71.0,4.615984666541188,0.0,14047068.39748049,71.0,53785.96717237922,1016040747069.7008,39527112725.92275,97.30949124217705,0.5504733127925623,122.47237181243395,0.3674209664195821,-263.6126057048817,-0.25508382370688143,1069.127649262171,0.3336165930665094,,
72.0,4.599700473204202,0.0,18745040.83105735,72.0,56508.26805402271,1067406204922.5636,36296342256.75686,73.57331312493339,0.5109667135419611,112.89038026748038,0.4013018798861267,-300.3901573399639,-0.312725955112069,1038.8874888978617,0.33054555858616347,,
73.0,4.179126841084646,0.0,22774868.871291418,73.0,57169.37199381056,1079838995016.5873,49383073891.00049,36.66006186427452,0.40333428856492826,90.28245861521678,0.4606332790682131,-351.2669462453483,-0.3970927959595829,1000.4443240807415,0.324836068871783,,
74.0,3.415720312598195,0.0,6551913.306512112,74.0,57011.28047424234,1076804436724.3245,35723038603.83064,8.239602751686482,0.23611331067267918,76.15112099641156,0.6150274571880594,-392.8368635673388,-0.4642503529810725,969.2480768085218,0.31737717318024183,,
75.0,3.2000131892630197,0.0,5155532.0591024775,75.0,57848.77353712989,1092574224475.6908,30985196646.76598,-3.9505355657345613,-0.16961273700662957,82.22949896186572,0.6572184629765931,-417.79427059196144,-0.48855641571611386,964.3220702759129,0.3146529326461842,,
76.0,3.1152437078766924,0.0,2627915.562759423,76.0,57237.66113709043,1080980050980.763,27659464986.73885,-6.708155924801801,-0.32150761248285326,92.91156653558062,0.684306270833781,-432.39957914585375,-0.5005755843188628,965.7654037310652,0.3125101568604104,,
77.0,3.0055198899285767,0.0,2308819.550292474,77.0,54533.40388242691,1030781591912.8181,28256851067.70268,-7.191926006882116,-0.34765323516334035,110.89569715331383,0.7204407992714329,-445.8777435128316,-0.5093890296025027,969.2121403117343,0.31148277561619453,,
78.0,2.8828981872747153,0.0,1743746.6550361963,78.0,53827.792865034724,1016487054819.7161,41325811946.27098,-5.943905380742891,-0.28153805276428995,123.53168694179482,0.7474863962380284,-454.46035922425796,-0.5125152948788103,995.9157100468602,0.316701693970971,,
79.0,2.8715702629973756,0.0,2974415.340094078,79.0,58897.84698299794,1112182356756.767,33721097081.419792,-6.773330759540893,-0.33865743765521567,126.16621352938716,0.7584073575479199,-461.64078516691404,-0.5133618151576139,1030.159791795188,0.3216281800412329,,
80.0,3.0826489968115576,0.0,3991146.9374480234,80.0,57198.18384629529,1080039673037.4923,31695369987.85105,1.5493006348705503,0.09307934716870404,126.86145421744963,0.7629870213082786,-468.64749746796826,-0.51627979393352,1071.0725995838834,0.33017296926928036,,
81.0,3.014255637817513,0.0,2025311.1996753549,81.0,57748.79317378856,1090380950871.23,36421192856.53637,7.196312277885068,0.31555249980721845,120.13491783123165,0.7057433772236676,-475.0401664256817,-0.5196920888780843,1113.9629932932519,0.337257375902803,,
82.0,3.045065793461773,0.0,2580944.4614640945,82.0,56386.856853152145,1064619437494.1869,34001467918.52828,24.678299675160925,0.5675570979809077,106.45523731893608,0.5795810299594395,-476.2922011758744,-0.5174044706292509,1152.1652771584397,0.34327634633314885,,
83.0,2.943036007796774,0.0,2047888.6991484356,83.0,59139.779279527174,1120610791475.7502,25743426946.961926,39.79237264435193,0.6701009157018442,84.98864480530628,0.4064840974164456,-476.84363733854826,-0.5127338914480997,1182.0338504647814,0.34789055836207655,,
84.0,3.086511020154861,0.0,2078127.51478112,84.0,60082.91166841709,1134300362589.2896,29676550711.713173,56.35819547875611,0.8014154189825995,60.847439613621646,0.24236474539813258,-473.4823503897067,-0.5059183662851423,1217.3311353589909,0.35456698009386484,,
85.0,3.0892674241804383,0.0,2025536.9321971314,85.0,58459.25551667463,1103594176399.3167,37851259606.14217,69.20666682157535,0.8461329312440303,25.970599573188096,0.08600851101874205,-475.30522662831856,-0.5053340779886286,1234.0185601315789,0.35659589248972057,,
86.0,3.0653064863057895,0.0,2840976.583898364,86.0,56987.32233855049,1075758915731.0365,41828523861.71753,83.11653728955787,0.8769701449427094,-9.643277877102443,-0.027732133954531103,-470.0910752376164,-0.4968095902032109,1253.5463292463476,0.3607161107329535,,
87.0,2.942624588043457,0.0,3212496.94069254,87.0,60603.65586738653,1138136620641.4888,39200729529.48786,97.48851437475341,0.9025877537526368,-43.19571342760058,-0.1117954310908822,-457.3909269235133,-0.47540792141756855,1276.0786836360355,0.3648320589446907,,
88.0,3.136779373392806,0.0,3807847.6505863015,88.0,60448.56251258625,1141910823555.9597,48978396010.968155,120.71152884880439,0.9764071413001345,-67.07969209282155,-0.1623825898739945,-437.6403791157808,-0.4475351504245727,1302.2767891688839,0.3710533422809809,,
89.0,3.1931777111691986,0.0,3032970.2940848214,89.0,63933.835442599324,1206711952537.9358,32107212452.298412,129.4066147168183,0.986065785635897,-93.54588416129228,-0.21400802177144113,-427.40214415767934,-0.4307772008846072,1324.7872644580357,0.3756728227569993,,
90.0,3.386579657726535,0.0,2887208.4855052335,90.0,65648.97779110243,1239021452560.904,26088449436.717113,122.81203670558175,0.9613918040388204,-130.18724006705813,-0.2825328812270873,-424.0124725587231,-0.42624993215377477,1331.1710355114092,0.37762553944508304,,
91.0,3.3728436697097157,0.0,2428569.406004598,91.0,64660.33535267343,1220299721850.586,29677693457.31651,101.69857364719275,0.8762263417039228,-176.5640400335652,-0.37510145726909017,-430.07927103465323,-0.4349563188856779,1325.873298134549,0.3777941096352103,,
92.0,3.341877644500416,0.0,2524249.842285374,92.0,64432.04794734522,1215930166022.9006,36872626217.741356,80.81785068868463,0.7579001669510291,-213.87535876030742,-0.4507337113095669,-434.6313047935101,-0.4418217007469417,1321.4722582161785,0.3780467805015015,,
93.0,3.3483134418829468,0.0,2616728.957903279,93.0,65005.64515956679,1228606858156.6921,35457583783.213585,52.83284056799381,0.48950300333326696,-251.67804492531008,-0.52306390654942,-441.8679146408177,-0.45154194677027604,1317.9736012445994,0.3784203483771628,,
94.0,3.367081797461167,0.0,3785859.397918857,94.0,65061.05440696283,1221681091090.6301,48648563669.37678,17.077126560581156,0.14343399968985268,-287.250097271082,-0.5948412955824104,-448.8526476703647,-0.464516690327716,1304.740612661166,0.37690886120067435,,
95.0,3.3248189880514323,0.0,4775059.743578892,95.0,67145.37493537061,1268116896159.246,41207912437.79217,-25.332594913978646,-0.17535946080392786,-327.1002688242766,-0.6716709536732945,-450.2162398281385,-0.4701795314776456,1290.04811333078,0.3755075098655383,,
96.0,3.4089034112960555,0.0,4606416.1100363685,96.0,67617.0155448617,1278797895528.3608,105426313891.40913,-73.64912288719435,-0.4257260834157241,-368.85133322703035,-0.7505947219977063,-454.19554703593775,-0.48085884244068344,1276.2836253333876,0.3749463386117549,,
97.0,3.328691298510549,0.0,5492477.704876166,97.0,63153.230193019495,1191631271447.797,24877902989.784378,-127.73090103729841,-0.6730522955516036,-406.91091107875184,-0.8383761026282857,-472.8463605470296,-0.5130864819332648,1258.838570850016,0.37349017248837924,,
98.0,3.0426925368700615,0.0,3582110.047999966,98.0,61661.35866372036,1162489871875.4807,31423601393.173405,-172.67130575013832,-0.8259961940435068,-436.10051743832014,-0.895750016817877,-485.192577136543,-0.535408276977552,1249.17296503089,0.3725989037112022,,
99.0,2.920399441219404,0.0,2367188.987049898,99.0,61247.38494217787,1154530569293.3604,31182137447.967434,-200.0192363817496,-0.8859405058282431,-456.20416612099837,-0.9208514249583551,-484.39524103581016,-0.5414744136312402,1255.1963418296666,0.37535449173506363,,
100.0,2.8874659895226507,0.0,6398053.179196537,100.0,61601.74357204975,1157101738112.7314,33152275947.43255,-218.8580377438714,-0.917803502806798,-469.8638655929427,-0.9355468740293897,-479.92226318354324,-0.5433469128624953,1267.7957961866248,0.37991431989130486,,
101.0,2.692540021696631,0.0,5369864.849529659,101.0,63130.94235171542,1187048124213.9268,36561444796.93016,-243.12584562040473,-0.9540483207523162,-482.17658380046765,-0.9481643367513044,-474.4805476600073,-0.5449270939218904,1281.1866508396045,0.38485809781906744,,
102.0,2.5276848163522465,0.0,5615273.605374398,102.0,63247.20896127831,1186951581189.4705,37335066460.155334,-258.3409776773404,-0.9779871165773493,-479.7837196567519,-0.9554343615553813,-459.0955844214426,-0.539243912392704,1308.3930696496343,0.39376962941804133,,
103.0,2.2851062322088636,0.0,4114801.519147182,103.0,61121.83120106507,1152831210803.7048,35834742028.38199,-259.0716309212618,-0.9889848081721264,-473.0753355402054,-0.957096857533214,-434.0808360146019,-0.523181920375603,1352.270916783936,0.40721884222655774,,
104.0,2.135497434197149,0.0,1890660.1579901667,104.0,61471.86846276259,1159841954948.4832,32494948460.791386,-256.16728906017556,-0.9866839448277775,-459.0284245795566,-0.9550322517149591,-404.02442831232946,-0.4991143359024653,1408.7437152305552,0.42375196204978394,,
105.0,2.136337963063471,0.0,2150229.2034762483,105.0,61837.257002978935,1166423768409.5984,31810216329.529858,-244.01403002269473,-0.9848489812083316,-441.414667375655,-0.9558212391968978,-366.95359848206823,-0.46951491426140535,1469.9560023025804,0.4426974646164572,,
106.0,2.196984550433164,0.0,3159340.451869741,106.0,62283.19805587354,1178047465292.3657,38648967244.95182,-234.34045365761628,-0.9822489632948234,-417.51130980575186,-0.9533436067935246,-328.49890271126316,-0.43632907990429837,1536.3897823127281,0.46280501518044054,,
